"customer_id","user_id","clean_name","age","age_range","gender","clean_email","clean_phone_number","clean_city","clean_state","signup_date","preferred_contact_method"
15253567,44392446,Tracy Dixon,64.0,"51-70",Female,,"758-429-8048",Detroit,MI,"2022-10-02",Email
15291208,22660194,Angela Newman,22.0,"16-30",Female,tina_newman@outlook.com,"808-908-4172","",OR,"2020-09-15",Push Notification
15505975,97260863,Lisa Young,27.0,"16-30",Female,brenda88@gmail.com,"316-520-8570",Seattle,WA,"",Email
15624520,76276072,"",50.0,"31-50",Female,jconway@gmail.com,"940-369-6626",Detroit,MI,"2020-12-08",Email
15677713,67276174,"",,"71+",Female,gerald_henderson@@outlook.com,"804-404-9141",Nan,NY,"2018-07-06",SMS
15820356,95511909,Timothy Bailey,,"71+",Male,connor.bailey@yahoo.com,"538-757-2213",Philadelphia,PA,"2025-12-13",SMS
15843091,41068214,"",90.0,"71+",Female,scott17@gmail.com,"949-615-9014",Chicago,IL,"2025-06-06",Email
15858241,63100814,Lauren Barr,54.0,"51-70",Female,kbarr@gmail.com,"814-622-9451",Philadelphia,"","2018-06-29",Push Notification
15864298,64549859,Paul Ford,27.0,"16-30",Male,aford@icloud.com,"279-896-2168","",AZ,"2019-01-24",SMS
15879578,77172238,Brian Cherry,58.0,"51-70",Male,kellicherry@gmail.com,"708-891-7133",San Diego,CA,"2025-11-19",Push Notification
15950635,29997018,Crystal Hoffman,59.0,"51-70",Female,james.hoffman@gmail.com,"526-339-2537",Las Vegas,NV,"2024-11-05",""
16086345,52091325,Matthew Brewer,42.0,"31-50",Male,ranger3983@gmail.com,"581-155-2736",San Diego,CA,"2020-07-02",Push Notification
16095815,61536717,Connie Rodriguez,52.0,"51-70",Female,andrew81@icloud.com,"333-427-9456",Boston,"","",Push Notification
16172803,78137358,Jared Watson,36.0,"31-50","",jared.watson@gmail.com,"235-124-2506",New York,NY,"2021-10-07",Email
16408822,43311626,Nicole Hood,65.0,"51-70",Female,joel41@outlook.com,"486-933-5718","",IN,"2022-12-10",Push Notification
16416148,88802305,"",62.0,"51-70",Female,cole72@gmail.com,"924-250-9454","",AZ,"2024-03-12",SMS
16582607,14216175,Michael Morgan,,"71+",Male,ace5552@gmail.com,"630-511-5986",Fort Worth,TX,"2026-01-31",Push Notification
16679008,48089166,"",32.0,"31-50","",,"345-925-2674",San Jose,CA,"2023-06-26",Email
16788532,19832887,Cristina Chavez,43.0,"31-50","",cchavez@gmail.com,,"",TX,"2023-05-22",SMS
16904975,90070438,Kyle Henderson,30.0,"16-30",Male,haley83@gmail.com,"274-811-6022",Las Vegas,NV,"2023-01-30",""
16927215,47295260,Robert Thompson,39.0,"31-50",Male,ranger8917@gmail.com,"371-762-1725",San Jose,CA,"2024-08-17",Push Notification
17003454,51154241,"",39.0,"31-50",Female,jennifer.chavez@outlook.com,"811-596-8978",Dallas,TX,"",""
17028380,36619372,Tabitha Pratt,49.0,"31-50",Female,jamiepratt@gmail.com,"403-904-6341",Columbus,OH,"2025-05-05",Email
17032877,56020613,"",36.0,"31-50","",jessica52@gmail.com,"632-536-5413",Dallas,TX,"2021-04-09",Push Notification
17061037,73509974,Eddie Lawrence,72.0,"71+",Male,mlawrence@gmail.com,"263-374-1769",New York,NY,"2022-08-30",Email
17148018,34084236,Edward Walker,16.0,"16-30",Male,kevin.walker@gmail.com,"267-356-4749",Detroit,"","2024-03-30",SMS
17275149,39587039,Christine Hodge,33.0,"31-50",Female,,"207-644-7739","",AZ,"2020-04-24",Email
17352710,29806690,"",41.0,"31-50",Male,wdaniels@outlook.com,"796-341-5409",Chicago,IL,"2019-09-01",Email
17532195,36697396,Tiffany Bauer,26.0,"16-30",Female,,"275-172-5105",Phoenix,AZ,"2022-09-15",SMS
17539294,71968116,Patrick Guzman,62.0,"51-70",Male,jeffrey.guzman@gmail.com,"773-724-5592",San Antonio,TX,"2024-08-20",SMS
17635653,53868501,Karen Reed,53.0,"51-70","",kreed@hotmail.com,"839-818-3976","",CA,"",SMS
18050510,63643924,Dawn Murray,34.0,"31-50",Female,aaron4@outlook.com,"724-157-3160",Jacksonville,FL,"2018-07-13",SMS
18126895,45650176,Jennifer Dennis,41.0,"31-50",Female,sdennis@outlook.com,"287-156-5426",Austin,TX,"2020-12-22",Push Notification
18163847,11297845,Dana Douglas,47.0,"31-50","",danadouglas@gmail.com,,San Francisco,"","2020-07-11",Email
18304547,42016960,Tanya Ellis,44.0,"31-50",Female,ace3303@gmail.com,"562-913-3852","",TN,"2024-12-30",SMS
18429833,93002706,Joshua Parker,36.0,"31-50",Male,james.parker@icloud.com,"854-169-2003",Los Angeles,CA,"2023-02-02",SMS
18469210,26690465,Alison Brown,40.0,"31-50",Female,tylerbrown@gmail.com,,"",TX,"2020-12-06",Push Notification
18484847,30776478,Mary Jensen,68.0,"51-70",Female,veronicajensen@@icloud.com,"619-726-5831",Houston,"","2025-07-16",""
18530615,75569635,Eric Thomas,52.0,"51-70",Male,emma48@hotmail.com,"208-445-5224",Jacksonville,FL,"2022-11-22",Email
18815720,15614174,Jason Ritter,25.0,"16-30","",jason.ritter@gmail.com,"705-866-4215",Indianapolis,IN,"",Email
18846539,42594692,Kimberly Liu,67.0,"51-70",Female,laura_liu@gmail.com,"981-344-5550",New York,NY,"2024-04-06",""
19010480,35921441,Sandra Brown,66.0,"51-70",Female,,"393-291-6265",San Francisco,CA,"2019-03-17",Email
19067690,93893865,Michele Fernandez,,"71+",Female,sfernandez@icloud.com,"271-409-5868",Indianapolis,IN,"2018-11-30",SMS
19083764,20075036,Karla Sosa,42.0,"31-50",Female,eric32@outlook.com,"570-838-1522",Las Vegas,NV,"2023-04-22",Push Notification
19165226,85751409,"",28.0,"16-30",Female,morgan_molina@gmail.com,"577-458-2804",Denver,CO,"2018-09-09",Email
19183277,24972279,Catherine Lawrence,22.0,"16-30",Female,jordan12@icloud.com ,"988-992-2609",New York,NY,"2025-06-25",Push Notification
19208698,56843172,"",39.0,"31-50",Male,ranger9556@gmail.com,"741-917-1842",Portland,OR,"2019-11-03",Push Notification
19339597,86384014,Darryl Guzman,29.0,"16-30",Male,dguzman@outlook.com,,"",NV,"2020-03-24",SMS
19369750,99949389,Joshua Parsons,41.0,"31-50",Male,kathleenparsons@hotmail.com,"498-566-9524",San Jose,CA,"2024-07-12",Push Notification
19673809,92228802,Thomas Jimenez,83.0,"71+",Male,sunny7330@icloud.com,"888-922-4282","",NV,"2024-08-27",Push Notification
19863756,88183110,Dylan Mercer,39.0,"31-50",Male,timothymercer@gmail.com,,Austin,TX,"2019-10-10",Email
19913576,38427073,Richard Sullivan,26.0,"16-30",Male,bobby90@outlook.com,"545-608-9237",New York,NY,"2018-07-07",Push Notification
19957701,44917589,Sheryl Nolan,27.0,"16-30",Female,shelby_nolan@gmail.com,"858-751-9113",Charlotte,NC,"2020-08-24",SMS
20043277,31472420,Rachel Mason,47.0,"31-50",Female,dennis.mason@icloud.com,"693-672-4245",Denver,CO,"2023-09-06",SMS
20106509,43528453,"",87.0,"71+",Male,charles_lopez@gmail.com,"375-280-7138",Philadelphia,"","2021-10-06",Email
20113745,39450273,Brooke Vargas,26.0,"16-30",Female,patricia_vargas@yahoo.com,"596-845-9237",Nashville,TN,"",SMS
20251466,65804273,Susan Shaw,61.0,"51-70",Female,taylor8@gmail.com,"755-615-4198",Seattle,WA,"",Push Notification
20298660,47346970,Wesley Garcia,54.0,"51-70",Male,ace4476@@outlook.com,"297-948-3832",Seattle,"","2024-04-14",Email
20356922,55150390,Melissa Murray,68.0,"51-70",Female,mmurray@icloud.com,"918-910-2970",San Diego,"","2020-07-12",""
20450542,73709724,Jay Sanchez,47.0,"31-50",Male,valerie.sanchez@icloud.com,"385-962-4095",Philadelphia,PA,"2025-11-04",SMS
20555833,38716269,Nathaniel Cruz,36.0,"31-50","",nathaniel46@outlook.com,"343-174-8552",San Francisco,CA,"2025-10-28",SMS
20593403,64807553,Derek Cook,35.0,"31-50",Male,rodney.cook@icloud.com,,San Jose,CA,"2024-09-19",Push Notification
20598952,51273847,Laura Wade,21.0,"16-30",Female,buddy3447@yahoo.com,"265-481-6656",Detroit,MI,"2022-04-13",SMS
20633503,74119726,James Abbott,68.0,"51-70",Male,jonathanabbott@gmail.com,,Nashville,TN,"2022-04-01",Push Notification
20779739,72820592,Randall Guzman,69.0,"51-70",Male,hguzman@icloud.com,"234-518-1245",Las Vegas,NV,"2022-08-08",SMS
20843514,84158663,Erin Anderson,48.0,"31-50",Female,christinaanderson@gmail.com,"719-692-9462",Los Angeles,CA,"2024-09-02",Email
20939011,59737181,James Stone,58.0,"51-70",Male,raymondstone@gmail.com,,Las Vegas,NV,"2019-10-11",Email
20949687,79182797,Elizabeth Taylor,34.0,"31-50",Female,michaeltaylor@gmail.com,,Fort Worth,TX,"2025-09-03",Email
20952896,16109013,"",58.0,"51-70",Female,jennifer63@gmail.com,"473-584-7053",San Jose,CA,"2023-08-14",Email
21087928,73083727,Miguel Freeman,38.0,"31-50",Male,crystal_freeman@icloud.com,"360-906-9698",Detroit,MI,"2022-02-03",SMS
21257528,35708194,James Y. Moore,73.0,"71+",Male,lmoore@outlook.com,"248-348-6180","",AZ,"2022-08-05",Email
21318464,25353091,Justin Wood,44.0,"31-50","",jwood@hotmail.com,"674-114-6376",Portland,OR,"2025-04-07",Push Notification
21370793,95306788,William Mcclain,33.0,"31-50",Male,jmcclain@gmail.com,"259-810-6482",Columbus,"","",SMS
21402740,78608612,William Cunningham,,"71+",Male,,"878-150-6999",Fort Worth,TX,"2024-08-07",SMS
21457410,54058573,John Scott,59.0,"51-70",Male,anthony_scott@yahoo.com ,"677-572-6314",Indianapolis,IN,"2023-09-07",SMS
21490910,42194159,"",80.0,"71+",Female,julianhill@gmail.com,"681-911-5723",Philadelphia,PA,"2019-12-22",Email
21819185,13999315,Alexa Delgado,26.0,"16-30",Female,tammydelgado@yahoo.com,"628-957-3880",Austin,TX,"2018-11-03",Email
21828592,52910691,Jennifer Santana,22.0,"16-30",Female,sunny4300@icloud.com,"662-821-2755",Los Angeles,CA,"2018-08-23",Email
22097496,72682989,Emily Johnson,93.0,"71+",Female,kristen_johnson@icloud.com,"653-339-5351",Charlotte,NC,"",Push Notification
22119391,43859311,Mark Campbell,33.0,"31-50",Male,michael37@yahoo.com,"826-244-8145",Austin,TX,"2022-02-08",Email
22120246,97529405,Sandra Delgado,71.0,"71+",Female,blake.delgado@@outlook.com,"598-533-6237",San Jose,CA,"2019-01-27",SMS
22130508,10435578,Johnny Richardson,46.0,"31-50","",,"807-710-8584",Columbus,OH,"2019-03-26",SMS
22243983,63481198,Lori Gibson,34.0,"31-50",Female,sunny4621@yahoo.com,"213-862-2445",Philadelphia,PA,"2019-05-10",""
22304198,52436584,Thomas Cook,61.0,"51-70",Male,mary_cook@outlook.com,"401-358-9046","","","2021-10-01",""
22309586,47983442,Taylor Allen,17.0,"16-30",Female,buddy4190@outlook.com,"881-752-4954",San Antonio,TX,"2022-07-31",Email
22315507,10054484,Katherine Henry,28.0,"16-30",Female,alexanderhenry@gmail.com,"648-150-5130",Fort Worth,TX,"",Email
22510327,49349722,James Holmes,35.0,"31-50",Male,,"664-378-4827",Columbus,OH,"",Email
22513132,47393469,Michelle Jackson,59.0,"51-70",Female,john.jackson@icloud.com,"354-377-6526",Portland,"","2023-04-18",""
22543044,82232344,"",,"71+",Male,jhamilton@gmail.com,"604-267-7991",Las Vegas,NV,"",Email
22684373,50477742,Julie Vance,,"71+",Female,kimberlyvance@icloud.com,,San Diego,CA,"2021-06-22",SMS
22762205,39854548,Audrey Young,80.0,"71+",Female,denise_young@gmail.com,"534-781-7535","",TX,"2018-06-28",Email
22960658,47463522,Nicholas Campbell,49.0,"31-50",Male,darrellcampbell@gmail.com,"521-749-8801","",CO,"2022-12-30",SMS
23041121,73481353,Angela Jones,64.0,"51-70",Female,brittany.jones@gmail.com,"939-329-1769",Columbus,OH,"2019-03-12",SMS
23044889,77491435,Jacqueline Barrera,32.0,"31-50",Female,buddy8583@yahoo.com,"414-725-2228",Jacksonville,FL,"2019-10-21",Email
23212812,77187530,Timothy Jones,59.0,"51-70",Male,mark.jones@gmail.com,"643-819-7459",Seattle,"","2019-08-06",""
23290458,43046464,Paula Strong,27.0,"16-30",Female,sunny2843@gmail.com,"940-599-8101",Portland,OR,"2021-08-14",""
23298711,95613415,Amber Horton,64.0,"51-70",Female,ashley_horton@gmail.com,"920-492-5786",San Antonio,TX,"2025-07-13",Push Notification
23311507,33763566,Deborah Ramirez,59.0,"51-70",Female,ronald63@hotmail.com,"784-917-9322",Phoenix,"","2020-12-04",SMS
23335151,44999379,Victoria Dixon,50.0,"31-50",Other,victoria77@gmail.com,"232-350-8056",Dallas,"","2022-08-02",SMS
23383077,28566572,Lori Lee,,"71+",Female,eric_lee@outlook.com,"457-140-8951",Nashville,TN,"2026-02-07",Push Notification
23470708,58586340,Lacey E. Gates,,"71+",Female,,"845-845-1691",Detroit,MI,"2023-08-16",""
23489853,78139880,Sheryl Moore,,"71+","",sherylmoore@hotmail.com,"795-593-2311",San Francisco,CA,"2018-09-30",Email
23574883,76344695,"",47.0,"31-50",Male,sunny9365@gmail.com,"900-840-8254",Phoenix,AZ,"2025-11-14",Email
23769360,52352128,"",34.0,"31-50",Female,denise_nelson@outlook.com,"672-842-3366",Austin,TX,"2020-05-24",Email
23798190,50079111,Jason Lowe,,"71+",Male,veronica.lowe@outlook.com,,Fort Worth,TX,"2023-12-08",Push Notification
23891786,73560289,"",,"71+",Male,williambauer@outlook.com,"907-137-2837",Boston,MA,"2026-05-19",Email
23905032,91363974,"",,"71+",Female,ace1673@gmail.com,"222-825-9604",Phoenix,AZ,"2018-08-27",Push Notification
23913528,25405014,Samantha Mitchell,66.0,"51-70",Female,tracy_mitchell@icloud.com,"660-937-3916",San Diego,CA,"2023-04-28",""
24039158,13356886,William Rodriguez,63.0,"51-70",Other,,"325-305-3275",San Jose,CA,"2022-07-19",Email
24208709,20814950,Dillon Keller,32.0,"31-50",Male,,"231-501-3574",San Diego,CA,"2021-03-11",Push Notification
24314759,18593410,Renee Parks,58.0,"51-70",Female,danielparks@outlook.com,"467-267-8653",Portland,OR,"2022-01-18",SMS
24490391,83227889,Diane Adams,,"71+",Female,,"894-820-5243",Charlotte,NC,"2023-01-06",""
24524825,68526649,"",20.0,"16-30",Male,pbrown@gmail.com,"485-210-9986",Indianapolis,IN,"",Push Notification
24541967,60864911,Tracy Lopez,92.0,"71+","",buddy9991@gmail.com,,Boston,MA,"2018-11-22",Push Notification
24636981,47135391,Scott Cannon,40.0,"31-50","",scannon@yahoo.com,"424-316-2812",Indianapolis,IN,"2023-06-21",""
24754064,99038526,"",56.0,"51-70",Other,,"504-220-8134",Indianapolis,IN,Prefer not to say,SMS
24879094,40291214,Maria Mendoza,19.0,"16-30",Female,anthonymendoza@icloud.com,"729-425-7249",Austin,TX,"2021-10-25",SMS
24883373,92043803,Alan Hernandez,59.0,"51-70","",ahernandez@hotmail.com,"659-176-9932",Jacksonville,FL,"2022-12-06",""
24923247,30364454,Michael Larson,63.0,"51-70","",michael32@gmail.com,"711-538-7893",Detroit,MI,"",Push Notification
25228493,93016315,Taylor Glenn,35.0,"31-50",Male,robert.glenn@gmail.com,"277-122-2056",Los Angeles,CA,"2024-09-07",Email
25253751,77834855,Michael Hunt,31.0,"31-50",Male,,"789-619-7291",San Jose,CA,"",Push Notification
25276327,16202700,Shaun Anderson,78.0,"71+",Male,amanda9@icloud.com,"618-892-3903","",CA,"2022-06-06",Push Notification
25304396,66390708,Jackson Church,51.0,"51-70",Male,buddy5864@gmail.com,"546-319-3999",New York,NY,"2021-08-30",SMS
25356396,65337219,David Mullins,33.0,"31-50",Other,,"540-191-2542",San Antonio,TX,"2020-09-06",SMS
25419645,36445607,"",63.0,"51-70","",ashley.pitts@icloud.com,"635-191-8165",Las Vegas,"","2024-10-26",SMS
25457816,47385696,Christine Butler,77.0,"71+",Female,abutler@hotmail.com,"236-932-6921",Indianapolis,IN,"2024-11-09",Push Notification
25458308,42111036,Charles Perry,38.0,"31-50","",cperry@gmail.com,,Phoenix,AZ,"",SMS
25558733,77827638,Kimberly Smith,44.0,"31-50",Female,bsmith@icloud.com,"773-573-6049",Chicago,IL,"2021-09-22",Push Notification
25585427,73993471,Philip Kelly,54.0,"51-70",Other,philip_kelly@gmail.com,"689-700-1612",Las Vegas,NV,"2021-07-23",SMS
25659979,82772208,Jason Garcia,65.0,"51-70",Male,leslie58@gmail.com,"562-426-9097",Houston,TX,"2023-05-27",SMS
25766039,87490893,Jose Jones,41.0,"31-50",Male,jessica3@hotmail.com,"385-126-6224",San Jose,CA,"2019-10-02",Push Notification
26104026,16740197,Steven Lin,54.0,"51-70",Male,jilllin@gmail.com,"474-527-3001",Jacksonville,FL,"2025-01-04",""
26297533,58181396,Melissa T. Robles,43.0,"31-50",Other,melissa32@icloud.com,"912-998-7046",Phoenix,AZ,"2021-06-07",SMS
26354208,21432787,Luis Glenn,42.0,"31-50",Male,douglas.glenn@aol.com,,Dallas,TX,"2020-07-03",""
26395999,50264926,Robert Evans,55.0,"51-70",Male,buddy3463@gmail.com,"486-903-5963",Las Vegas,NV,"2019-10-29",""
26405605,33966966,Denise Griffith,84.0,"71+",Female,,"852-862-1497",New York,NY,"",SMS
26587799,32321899,Jacob Brown,47.0,"31-50",Male,cbrown@gmail.com,"696-760-8105",New York,NY,"2023-04-23",SMS
26706752,15399803,Michele Rice,17.0,"16-30",Female,,,Nashville,TN,"",""
26733967,81922443,"",52.0,"51-70",Female,myoung@gmail.com,"372-514-4442",San Jose,CA,"2024-05-11",Push Notification
26901217,77898694,Angela Morris,64.0,"51-70",Female,jonathonmorris@icloud.com,"794-181-5529",Charlotte,NC,"2024-02-10",""
26937148,51373735,Donald Cole,27.0,"16-30",Male,lindsey_cole@hotmail.com,"584-777-3379",Charlotte,"","2026-01-29",Push Notification
26944487,88461803,Robin Kim,37.0,"31-50",Female,stephanie_kim@gmail.com,"847-866-8126",Indianapolis,IN,"",Push Notification
27013243,37326368,Heather Dougherty,35.0,"31-50",Female,ace5077@yahoo.com,,Phoenix,AZ,"2024-12-01",Email
27152188,97302916,Joseph Armstrong,63.0,"51-70",Male,jonathan_armstrong@outlook.com,"605-761-6425",Los Angeles,"","2020-11-15",""
27307598,68186525,Adrian Shelton,32.0,"31-50","",adrian.shelton@gmail.com,"509-615-6313",Houston,TX,"2025-02-23",""
27339011,27896471,Austin Morgan,56.0,"51-70",Male,annettemorgan@gmail.com,"971-776-3287",Los Angeles,CA,"2020-01-29",Email
27447248,11049999,Nicholas Davis,28.0,"16-30",Male,,"276-616-7805",Dallas,TX,"",Email
27463800,96098221,"",57.0,"51-70",Female,hwilcox@gmail.com,"503-851-1992",Dallas,TX,"2026-01-17",Push Notification
27584297,23718431,Walter Hill,52.0,"51-70",Male,justin_hill@@outlook.com,"724-497-7852",Denver,CO,"2022-05-24",Push Notification
27589104,47535126,Steve Parrish,35.0,"31-50",Male,james.parrish@gmail.com,"337-964-6051","","","2025-04-06",Email
27637794,65177213,Ryan Juarez,57.0,"51-70",Male,ranger4406@outlook.com,"606-323-6013",Fort Worth,TX,"2020-11-03",SMS
27690330,45496015,Melissa Nelson,55.0,"51-70","",melissa99@gmail.com,"203-902-4798",Denver,CO,"2021-09-17",Email
27738187,64038913,James Anderson,69.0,"51-70",Male,ranger5691@hotmail.com,,Las Vegas,NV,"2019-04-28",SMS
27905932,96924061,David Hernandez,43.0,"31-50",Male,sharonhernandez@outlook.com,,Nashville,TN,"2026-03-12",SMS
28099607,68942178,Nicole Ford,,"71+",Female,ace441@yahoo.com,"692-949-6873",San Antonio,"","",""
28208520,17634247,Sherry Hart,36.0,"31-50",Female,,"486-565-1627",Columbus,OH,"",Push Notification
28321839,38119557,Leah Robinson,85.0,"71+",Female,gregory_robinson@outlook.com,,Los Angeles,"","2024-01-25",Push Notification
28358198,73440831,Marcus Mendoza,70.0,"51-70",Male,denise.mendoza@gmail.com,"293-935-5967",Charlotte,"","2021-07-31",Push Notification
28419343,39372360,Cheryl Taylor,61.0,"51-70",Female,ktaylor@outlook.com,,Fort Worth,TX,"",Push Notification
28463709,99682738,Brandon Adams,49.0,"31-50",Male,daniel28@gmail.com,"625-969-8657","",TX,"2024-04-21",""
28468304,87049595,"",81.0,"71+",Female,joshua_gallagher@icloud.com,"217-238-5971",Houston,TX,"2022-05-14",SMS
28575536,70900658,Terry Jordan,40.0,"31-50",Male,jjordan@icloud.com,"533-209-3521","",CA,"2018-08-05",Email
28628439,69118721,Joshua Hudson,54.0,"51-70","",,"337-878-6924",Pheonix,AZ,"2024-07-24",SMS
28760553,18181586,Clayton Valenzuela,,"71+","",clayton30@gmail.com,"571-102-4330",Denver,CO,"",Email
28892086,20117988,Jamie Sanchez,63.0,"51-70",Female,jared53@outlook.com,"551-130-4846","",MA,"",SMS
28982195,96911784,Thomas Vaughan,30.0,"16-30",Male,hannah_vaughan@icloud.com,"605-290-3658",San Francisco,CA,"2025-07-07",Email
29042093,50392808,Cheyenne Clay,62.0,"51-70",Female,robertclay@gmail.com,"947-825-3075",Jacksonville,"","2022-10-13",Email
29208935,75228535,Alyssa Harris,88.0,"71+","",ace9687@yahoo.com,"391-952-7254","","","2024-04-16",SMS
29226889,99245317,"",52.0,"51-70","",buddy1425@gmail.com,"549-973-7377",Philadelphia,PA,"2023-10-26",SMS
29270557,86320155,Kayla Miller,60.0,"51-70",Female,,"567-603-2462",Jacksonville,FL,"2025-07-17",Push Notification
29348212,16323852,Cheryl Reed,91.0,"71+",Female,virginia72@yahoo.com,"385-663-7579",Houston,TX,"2021-12-13",Push Notification
29413516,95320121,Oscar Duncan,30.0,"16-30",Male,buddy9043@gmail.com,"251-266-4511",San Jose,CA,"2021-11-10",Email
29419691,80993218,David Hubbard,26.0,"16-30",Male,thubbard@gmail.com,,Nashville,TN,"2021-12-02",SMS
